ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
fehclkmblhgfomnjklggmoejabgjcfcl,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
edmkmnjkagnlalaamoaoihblemaeedib,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
opimkfaiaekjknodenklcjdeaeedjdkc,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
hogimgcnlijiichncbccieippmdgoeig,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,5
gpoalbapkpngbcdpifnilmiapnlaciai,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
phkenomnahhgjnmpignadbeandfanbil,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,10
egbebnjiaigjekepcalpcjeckiepebgl,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,7
ldmflkefiglekhmgmceccddablgfhkhn,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,12
bhflldkbcnidkhofjejdmidnpklichjk,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,4
dknjhljhbjjepblhdogbajnimkiflhcd,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,10
lcbammllahiomehmmgknajealgajchbp,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,6
kmdojjlcckelhlndimpopmonleajgpae,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,14
hmogpdfolooffjckmeaninmkkcbkednf,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,11
mkndieaclikppobgjihfijainfmjcbhd,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,3
jnnojalnifmaekkfknejbppafnaiepjl,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,10
gmapcmjlcmibnddkiddcgdkljaboobbo,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
djhphipieecndgbplonaadoiefnjfnia,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,2
cbmolikjecklnipjeilkihhikolnmmdo,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,13
fgihoanlhiehncoaimcmolhlbmeikoak,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,11
elmgfbmdfmjjhpmcepbkohgeaemafpnh,Accessibility,0,0,0,1,0,0,0,1,0,0,0,0,7
eaiabkjipjhalikppkkjoeefjnphgbpe,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,9
ibeckhoigojdjkahpmemablmfgejemmk,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,3
bnefkbkgplakejnfhhhdfmacfbhbmnbd,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,9
kcmipkbnmndcdhmlhpdampbfkdbkdjib,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,9
lmilkgfpcjmmcbnenlpjknhleffaeoci,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,11
gegfnocdoodghpebnlgbaohceknochda,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,13
hjfkenebldkfgibelglepinlabpjfbll,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,10
mgmcokpgponhgkbnhfbdiddookjadenf,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,3
