id,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
hlldaigopbcaeejdnoocjpcpadkagmcd,Accessibility,1,0,0,1,0,0,0,5,7,8,0,0,11
kclcheeeodgkddfbhjjfnofifkjbieof,Accessibility,6,0,0,8,0,0,0,2,10,8,0,0,11
idofkhpjfifefoighnpalajbdjgngcph,Accessibility,2,0,0,1,0,0,1,0,2,3,0,0,4
jknjjgiighcgcmlflkiicacmhbkleajg,Accessibility,1,0,0,0,0,0,0,2,2,3,1,0,6
gfimipfmbiohbdjmbmmljponpjmhhokl,Accessibility,0,0,0,0,0,0,0,6,11,5,0,0,12
hdgegmlancchhhlkkddoiedlklgocffm,Accessibility,1,0,0,3,0,0,0,9,11,8,1,0,12
icfcofbhpapplokfmbgllcfehkbaadap,Accessibility,1,0,0,1,0,0,2,4,3,4,1,0,8
jbhmglllgkjijmanjbnpcpdlopbfcdkk,Accessibility,2,0,0,3,0,0,0,3,3,6,1,0,9
oppcghdbglmbhhobfoodedhokbadlenh,Accessibility,2,0,0,3,0,0,0,7,8,12,0,0,17
eobhfnijalkolbbmdoonheekjidkoojd,Accessibility,1,0,0,1,0,0,0,4,4,7,0,0,10
dilceaoodnlblhdppoancjplcmihblmj,Accessibility,0,0,0,0,0,0,0,2,5,5,0,0,6
bpfjekenbaponfcnlkphcnojnijojcgc,Accessibility,0,0,0,0,0,0,0,5,7,6,0,0,10
