ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
acbnfhojfcekhhpednhnikgjchmniimp,0,0,0,0,0,0,0,0,0,0,0,0
bongficojipchbeemolcoojnamfabehf,13,0,0,21,0,0,0,0,0,0,0,0
amhbhoipamkjemjbmnlflicdljlliceb,1,0,0,0,0,0,0,0,0,0,0,0
bbpdiffmmobnnngmfigpgddgjpgjgbol,0,0,0,0,0,0,0,0,0,0,0,0
bennikkpnelmfdiijpdclfincmnoabae,0,0,0,0,0,0,0,0,0,0,0,0
cefmjcpjdagdbaklffmlemcmcdpjenbf,0,0,0,1,0,0,0,0,0,0,0,0
aadfljniljjdmphnonhglhjjebmoilgo,7,0,0,2,0,0,0,0,0,0,0,0
bgkanlpcmdofcgadmpkeifiobdlkaceg,0,0,0,0,0,0,0,0,0,0,0,0
bpndllhnkhaepbdeeklhlbpinaacbjfj,0,0,0,0,0,0,0,0,0,0,6,0
aknkejhkdngmlbfafnopmkbgfhpecbic,0,0,0,0,0,0,0,0,0,0,0,0
abgbcgpkejdjlhobkhpcnnlpnbacenfj,0,0,0,0,0,0,0,0,0,0,0,0
bffojpajjfmkcjpdenhfdlpjdbpflpbl,0,0,0,0,0,0,0,0,0,0,0,0
blaaajhemilngeeffpbfkdjjoefldkok,0,0,0,0,0,0,0,0,0,0,0,0
acakicmakfimdjpiopdgocnkemebjmln,1,0,0,0,0,0,0,0,0,0,0,0
aljgmbpcdmgelhkanifjjbgdkohoefme,0,0,0,0,0,0,0,0,0,0,0,0
aklljkbaaipiepfcpmbkgbnnllhfdhie,1,0,0,0,0,0,0,0,0,0,0,0
acnlnpmoibgenddjmjjfpmdjjlbdbcbi,0,0,0,0,0,0,0,0,0,0,0,0
abikfbojmghmfjdjlbagiamkinbmbaic,0,0,0,0,0,0,0,0,0,0,0,0
beabfimakokhfnnkabnjdelbkgaobhjh,0,0,0,1,0,0,0,0,0,0,0,0
apacadmkljmohmjgefhficgiijnnmelk,4,0,0,6,0,0,0,0,0,0,0,0
ajgpaojefmgchgeicdicdhikdlaihjdk,0,0,0,0,0,0,0,0,0,0,0,0
